	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
0	158441	Folsomia candida	XP_035708168.1																		264.0	393.0		XP_035708168.1 uncharacterized protein LOC110850553 isoform X2 [Folsomia candida]	True	Eukaryota	Metazoa	Arthropoda	Entomobryomorpha	Folsomia candida	pink
82	111806	Thermomonospora umbrina	WP_116023969.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	3.3e-06	41.8	0.0	1.0	1.0	7.7e-12	6e-06	40.9	0.0	13.0	124.0	17.0	118.0	13.0	121.0	0.87	hypothetical protein [Thermomonospora umbrina]	False	Bacteria		Actinomycetota	Streptosporangiales	Thermomonospora umbrina	blue
303	2715754	Chryseobacterium sp. LAM-KRS1	WP_172278603.1	128.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	3.6000000000000003e-06	41.7	0.0	1.0	1.0	8.300000000000001e-12	6.4e-06	40.8	0.0	15.0	124.0	19.0	121.0	10.0	126.0	0.81	hypothetical protein [Chryseobacterium sp. LAM-KRS1]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. LAM-KRS1	blue
221	1896174	Umbelopsis sp. PMI_123	KAH8556021.1	133.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	8.8e-06	40.4	0.0	1.0	1.0	1.3e-11	1e-05	40.2	0.0	16.0	127.0	27.0	131.0	12.0	133.0	0.88	hypothetical protein BGW37DRAFT_479514 [Umbelopsis sp. PMI_123]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis sp. PMI_123	brown
110	333702	Chryseobacterium piscium	REC53880.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	7.000000000000001e-06	40.7	0.0	1.0	1.0	1.3e-11	1e-05	40.2	0.0	15.0	125.0	19.0	122.0	10.0	127.0	0.8	hypothetical protein DRF62_11920 [Chryseobacterium piscium]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium piscium	blue
271	2258964	Chryseobacterium sp. 5_R23647	REC43745.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	1e-05	40.2	0.0	1.0	1.0	1.8e-11	1.4e-05	39.7	0.0	15.0	125.0	19.0	122.0	10.0	127.0	0.83	hypothetical protein DRF69_07755 [Chryseobacterium sp. 5_R23647]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. 5_R23647	blue
285	2591838	Asgard group archaeon	NHJ38414.1	133.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	8.8e-06	40.4	0.0	1.0	1.0	2.1e-11	1.6e-05	39.6	0.0	11.0	124.0	15.0	126.0	7.0	130.0	0.78	hypothetical protein [Asgard group archaeon]	False	Archaea		Asgard group		Asgard group archaeon	
217	1883073	Umbelopsis sp. AD052	KAI9287859.1	133.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	2e-05	39.2	0.0	1.0	1.0	2.9e-11	2.3e-05	39.1	0.0	13.0	127.0	24.0	131.0	13.0	133.0	0.89	hypothetical protein BC943DRAFT_318978 [Umbelopsis sp. AD052]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis sp. AD052	brown
5	287	Pseudomonas aeruginosa	WP_134232381.1	126.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	1.1e-05	40.1	0.0	1.0	1.0	3.2e-11	2.4e-05	39.0	0.0	10.0	124.0	14.0	120.0	7.0	124.0	0.85	hypothetical protein [Pseudomonas aeruginosa]	False	Bacteria		Pseudomonadota	Pseudomonadales	Pseudomonas aeruginosa	blue
328	2842125	Chryseobacterium sp. NKUCC03_KSP	MBW3523535.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	1.8e-05	39.4	0.0	1.0	1.0	3.3e-11	2.6e-05	38.9	0.0	15.0	125.0	19.0	122.0	10.0	127.0	0.81	hypothetical protein [Chryseobacterium sp. NKUCC03_KSP]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. NKUCC03_KSP	blue
199	1746090	Anaeramoeba ignava	KAJ5066093.1	567.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	1.6e-05	39.6	0.0	1.0	1.0	3.7e-11	2.9e-05	38.7	0.0	9.0	124.0	451.0	558.0	444.0	562.0	0.87	hypothetical protein M0811_03426 [Anaeramoeba ignava]	False	Eukaryota		Metamonada		Anaeramoeba ignava	black
48	44442	Umbelopsis vinacea	KAG2173910.1	133.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	2.6e-05	38.9	0.0	1.0	1.0	3.9e-11	3e-05	38.7	0.0	13.0	127.0	24.0	131.0	14.0	133.0	0.9	hypothetical protein INT44_000023 [Umbelopsis vinacea]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis vinacea	brown
338	2897331	Chryseobacterium sp. LC2016-29	WP_230636982.1	169.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	3.2e-05	38.6	0.0	1.0	1.0	6.4e-11	4.9e-05	38.0	0.0	15.0	125.0	61.0	164.0	52.0	169.0	0.8	hypothetical protein [Chryseobacterium sp. LC2016-29]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. LC2016-29	blue
284	2576777	Chryseobacterium mulctrae	WP_228448871.1	169.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	3.1e-05	38.6	0.0	1.0	1.0	6.4e-11	4.9e-05	38.0	0.0	15.0	125.0	61.0	164.0	52.0	169.0	0.8	hypothetical protein [Chryseobacterium mulctrae]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium mulctrae	blue
163	1241978	Chryseobacterium bernardetii	WP_185146548.1	129.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	3.4e-05	38.5	0.0	1.0	1.0	6.4e-11	5e-05	38.0	0.0	11.0	124.0	15.0	121.0	6.0	127.0	0.85	hypothetical protein [Chryseobacterium bernardetii]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium bernardetii	blue
