	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
0	13164	Myzus persicae	XP_022178340.1																		695.0	1661.0		XP_022178340.1 LOW QUALITY PROTEIN: eukaryotic translation initiation factor 4 gamma 3-like [Myzus persicae]	True	Eukaryota	Metazoa	Arthropoda	Hemiptera	Myzus persicae	pink
760	274613	Schistocerca piceifrons	XP_047101703.1	2130.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1138.1	0.0	1.0	1.0	0.0	0.0	1138.1	0.0	2.0	936.0	1171.0	2121.0	1170.0	2122.0	0.89	eukaryotic translation initiation factor 4 gamma 1-like isoform X2 [Schistocerca piceifrons]	False	Eukaryota	Metazoa	Arthropoda	Orthoptera	Schistocerca piceifrons	pink
601	136037	Zootermopsis nevadensis	XP_021930525.1	1940.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1206.2	7.2	1.0	1.0	0.0	0.0	1206.2	7.2	2.0	936.0	951.0	1934.0	950.0	1935.0	0.91	eukaryotic translation initiation factor 4 gamma 3-like isoform X2 [Zootermopsis nevadensis]	False	Eukaryota	Metazoa	Arthropoda	Blattodea	Zootermopsis nevadensis	pink
609	143948	Diuraphis noxia	XP_015376392.1	1075.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1164.2	28.4	1.0	1.0	0.0	0.0	1164.2	28.4	2.0	937.0	118.0	1070.0	117.0	1070.0	0.92	PREDICTED: eukaryotic translation initiation factor 4 gamma 3-like isoform X2 [Diuraphis noxia]	False	Eukaryota	Metazoa	Arthropoda	Hemiptera	Diuraphis noxia	pink
878	520822	Atta colombica	XP_018054814.1	2019.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1363.0	16.2	1.0	1.0	0.0	0.0	1363.0	16.2	2.0	936.0	1053.0	2005.0	1052.0	2006.0	0.96	PREDICTED: eukaryotic translation initiation factor 4 gamma 3 isoform X1 [Atta colombica]	False	Eukaryota	Metazoa	Arthropoda	Hymenoptera	Atta colombica	pink
877	516756	Eufriesea mexicana	XP_017753667.1	1962.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1294.1	17.6	1.0	1.0	0.0	0.0	1294.1	17.6	2.0	936.0	1003.0	1947.0	1002.0	1948.0	0.96	PREDICTED: LOW QUALITY PROTEIN: eukaryotic translation initiation factor 4 gamma 3-like [Eufriesea mexicana]	False	Eukaryota	Metazoa	Arthropoda	Hymenoptera	Eufriesea mexicana	pink
876	506608	Cinara cedri	VVC36271.1	1471.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1090.8	31.0	1.0	1.0	0.0	0.0	1090.8	31.0	2.0	937.0	496.0	1465.0	495.0	1465.0	0.91	Armadillo-type fold,MIF4G-like, type 3,Initiation factor eIF-4 gamma, MA3 [Cinara cedri]	False	Eukaryota	Metazoa	Arthropoda	Hemiptera	Cinara cedri	pink
872	486640	Odontomachus brunneus	XP_032674041.1	1839.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1156.7	10.4	1.0	1.0	0.0	0.0	1156.7	10.4	2.0	936.0	877.0	1824.0	876.0	1825.0	0.95	eukaryotic translation initiation factor 4 gamma 3-like isoform X10 [Odontomachus brunneus]	False	Eukaryota	Metazoa	Arthropoda	Hymenoptera	Odontomachus brunneus	pink
881	561572	Frieseomelitta varia	KAF3420249.1	1326.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1279.1	19.6	1.0	1.0	0.0	0.0	1279.1	19.6	2.0	935.0	249.0	1216.0	248.0	1218.0	0.96	hypothetical protein E2986_09321 [Frieseomelitta varia]	False	Eukaryota	Metazoa	Arthropoda	Hymenoptera	Frieseomelitta varia	pink
610	143950	Sipha flava	XP_025411781.1	1470.0	GCF_001856785.1;XP_022178340.1;Meta_(705,1658)	-	937.0	0.0	1143.7	26.8	1.0	1.0	0.0	0.0	1143.7	26.8	2.0	937.0	505.0	1464.0	504.0	1464.0	0.91	eukaryotic translation initiation factor 4 gamma 3-like isoform X3 [Sipha flava]	False	Eukaryota	Metazoa	Arthropoda	Hemiptera	Sipha flava	pink
