target_name	target_accession	tlen	query_name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description_of_target	species
KPJ16533.1	-	646	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.7e-57	205.3	17.6	1	2	1e-31	1.4e-26	106.9	3.8	2	65	482	545	481	545	0.98	hypothetical protein RR48_08124 [Papilio machaon]	Papilio machaon
KPJ16533.1	-	646	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.7e-57	205.3	17.6	2	2	2.6e-31	3.6e-26	105.6	3.5	2	65	567	630	566	630	0.98	hypothetical protein RR48_08124 [Papilio machaon]	Papilio machaon
XP_028163232.1	-	620	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.3e-48	176.7	16.7	1	2	7.9e-21	1.1e-15	72.0	0.6	21	65	469	513	466	513	0.98	uncharacterized protein LOC114354862 [Ostrinia furnacalis]	Ostrinia furnacalis
XP_028163232.1	-	620	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.3e-48	176.7	16.7	2	2	1.6e-32	2.2e-27	109.5	4.3	2	65	541	604	540	604	0.98	uncharacterized protein LOC114354862 [Ostrinia furnacalis]	Ostrinia furnacalis
XP_039753494.1	-	530	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	9.2e-30	117.1	5.9	1	2	5.3	7.3e+05	5.3	0.1	7	27	57	77	51	89	0.80	uncharacterized protein LOC120628896 [Pararge aegeria]	Pararge aegeria
XP_039753494.1	-	530	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	9.2e-30	117.1	5.9	2	2	1.8e-33	2.4e-28	112.6	2.2	2	65	451	514	450	514	0.98	uncharacterized protein LOC120628896 [Pararge aegeria]	Pararge aegeria
XP_053609082.1	-	527	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.6e-29	116.4	4.2	1	1	3e-34	4.1e-29	115.0	4.2	2	65	448	511	447	511	0.98	uncharacterized protein LOC128674529 [Plodia interpunctella]	Plodia interpunctella
XP_034832444.1	-	88	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.8e-29	115.1	0.8	1	1	3.5e-34	4.7e-29	114.8	0.8	2	65	9	72	8	72	0.98	protein gamma response 1-like [Maniola hyperantus]	Maniola hyperantus
XP_046966228.1	-	507	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.5e-29	114.9	4.9	1	1	1.4e-33	1.9e-28	112.9	2.4	4	65	430	491	427	491	0.98	uncharacterized protein LOC124534410 isoform X1 [Vanessa cardui]	Vanessa cardui
XP_047991841.1	-	556	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.6e-29	114.9	5.0	1	1	1.1e-33	1.6e-28	113.2	3.5	2	65	477	540	476	540	0.98	uncharacterized protein LOC125230653 [Leguminivora glycinivorella]	Leguminivora glycinivorella
XP_052741217.1	-	475	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.6e-29	114.9	5.4	1	1	3.1e-33	4.2e-28	111.8	2.5	2	65	396	459	395	459	0.98	uncharacterized protein LOC112057013 isoform X2 [Bicyclus anynana]	Bicyclus anynana
XP_047533227.1	-	506	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	5.1e-29	114.7	5.0	1	1	1e-33	1.4e-28	113.3	2.8	4	65	429	490	426	490	0.98	uncharacterized protein LOC125068210 [Vanessa atalanta]	Vanessa atalanta
XP_052741215.1	-	521	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	5.9e-29	114.5	5.4	1	1	3.5e-33	4.8e-28	111.6	2.5	2	65	442	505	441	505	0.98	uncharacterized protein LOC112057013 isoform X1 [Bicyclus anynana]	Bicyclus anynana
XP_026492375.1	-	506	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	6e-29	114.5	5.4	1	1	1.5e-33	2e-28	112.8	2.7	4	65	429	490	426	490	0.98	uncharacterized protein LOC113398030 isoform X1 [Vanessa tameamea]	Vanessa tameamea
XP_046966231.1	-	450	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	7.1e-29	114.3	2.4	1	1	1.2e-33	1.6e-28	113.1	2.4	4	65	373	434	370	434	0.98	uncharacterized protein LOC124534410 isoform X3 [Vanessa cardui]	Vanessa cardui
XP_046966229.1	-	502	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	7.2e-29	114.3	5.3	1	1	1.4e-33	1.9e-28	112.9	2.4	4	65	425	486	422	486	0.98	uncharacterized protein LOC124534410 isoform X2 [Vanessa cardui]	Vanessa cardui
XP_026492376.1	-	454	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	8e-29	114.1	2.7	1	1	1.3e-33	1.7e-28	113.0	2.7	4	65	377	438	374	438	0.98	uncharacterized protein LOC113398030 isoform X2 [Vanessa tameamea]	Vanessa tameamea
RVE44691.1	-	440	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	9e-29	113.9	3.5	1	1	6.6e-34	9e-29	113.9	3.5	4	65	363	424	360	424	0.98	hypothetical protein evm_010649 [Chilo suppressalis]	Chilo suppressalis
CAH2981008.1	-	520	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.1e-28	113.6	3.5	1	1	8.4e-34	1.1e-28	113.6	3.5	4	65	443	504	440	504	0.98	unnamed protein product [Chilo suppressalis]	Chilo suppressalis
XP_050350955.1	-	508	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.7e-28	113.1	7.1	1	1	3.3e-33	4.5e-28	111.7	3.3	4	65	431	492	428	492	0.98	uncharacterized protein LOC126773808 [Nymphalis io]	Nymphalis io
XP_013195786.1	-	529	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.8e-28	113.0	3.3	1	1	2.8e-33	3.8e-28	111.9	3.3	2	65	450	513	449	513	0.98	PREDICTED: uncharacterized protein LOC106139004 [Amyelois transitella]	Amyelois transitella
CAH2096470.1	-	499	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.9e-28	112.3	2.5	1	1	2.1e-33	2.9e-28	112.3	2.5	4	65	422	483	419	483	0.98	unnamed protein product [Euphydryas editha]	Euphydryas editha
XP_038209688.1	-	457	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-28	111.8	3.3	1	1	7e-33	9.6e-28	110.6	3.3	2	65	378	441	377	441	0.98	uncharacterized protein LOC119830679 isoform X2 [Zerene cesonia]	Zerene cesonia
XP_038209687.1	-	491	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.6e-28	111.7	3.3	1	1	7.8e-33	1.1e-27	110.5	3.3	2	65	412	475	411	475	0.98	uncharacterized protein LOC119830679 isoform X1 [Zerene cesonia]	Zerene cesonia
XP_026761669.2	-	509	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.7e-28	111.7	3.5	1	1	1.3e-32	1.8e-27	109.7	3.5	2	65	430	493	429	493	0.98	uncharacterized protein LOC113520519 isoform X1 [Galleria mellonella]	Galleria mellonella
XP_031766276.2	-	497	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	5.2e-28	111.5	3.5	1	1	1.3e-32	1.8e-27	109.8	3.5	2	65	418	481	417	481	0.98	uncharacterized protein LOC113520519 isoform X2 [Galleria mellonella]	Galleria mellonella
XP_045448137.1	-	501	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	6.6e-28	111.2	4.4	1	1	4.8e-33	6.6e-28	111.2	4.4	3	65	423	485	421	485	0.98	uncharacterized protein LOC123656513 [Melitaea cinxia]	Melitaea cinxia
XP_045497884.1	-	489	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.3e-27	110.3	5.0	1	1	2.2e-32	3.1e-27	109.0	5.0	2	65	410	473	409	473	0.98	uncharacterized protein LOC123695972 [Colias croceus]	Colias croceus
VVD05896.1	-	416	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.3e-27	110.2	2.2	1	1	9.7e-33	1.3e-27	110.2	2.2	3	65	338	400	336	400	0.98	unnamed protein product [Leptidea sinapis]	Leptidea sinapis
XP_045773283.1	-	526	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.4e-27	110.1	4.1	1	2	5.4	7.3e+05	5.3	0.1	6	28	57	79	53	93	0.78	uncharacterized protein LOC123872794 isoform X2 [Maniola jurtina]	Maniola jurtina
XP_045773283.1	-	526	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.4e-27	110.1	4.1	2	2	5.1e-31	7e-26	104.7	1.2	2	65	447	510	446	510	0.98	uncharacterized protein LOC123872794 isoform X2 [Maniola jurtina]	Maniola jurtina
XP_045773282.1	-	530	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.4e-27	110.1	4.1	1	2	5.4	7.4e+05	5.3	0.1	6	28	57	79	53	93	0.78	uncharacterized protein LOC123872794 isoform X1 [Maniola jurtina]	Maniola jurtina
XP_045773282.1	-	530	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.4e-27	110.1	4.1	2	2	5.1e-31	7e-26	104.7	1.2	2	65	451	514	450	514	0.98	uncharacterized protein LOC123872794 isoform X1 [Maniola jurtina]	Maniola jurtina
XP_050675827.1	-	480	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.3e-27	109.5	1.7	1	1	1.7e-32	2.3e-27	109.5	1.7	3	65	402	464	400	464	0.98	uncharacterized protein LOC126972805 [Leptidea sinapis]	Leptidea sinapis
XP_013134101.1	-	439	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.3e-27	108.9	3.8	1	1	5.9e-32	8e-27	107.7	3.8	2	65	360	423	359	423	0.98	PREDICTED: uncharacterized protein LOC106099953 [Papilio polytes]	Papilio polytes
CAG4940561.1	-	577	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.6e-27	108.8	3.6	1	1	2.6e-32	3.6e-27	108.8	3.6	2	65	498	561	497	561	0.98	unnamed protein product [Parnassius apollo]	Parnassius apollo
XP_041979547.1	-	498	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-27	108.6	4.1	1	1	3e-32	4.2e-27	108.6	4.1	2	65	419	482	418	482	0.98	uncharacterized protein LOC121733385 [Aricia agestis]	Aricia agestis
CAH0715768.1	-	490	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	8.9e-27	107.5	4.6	1	1	6.5e-32	8.9e-27	107.5	4.6	3	65	413	475	411	475	0.98	unnamed protein product, partial [Brenthis ino]	Brenthis ino
XP_045536605.1	-	560	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.1e-26	107.2	3.8	1	1	8.3e-32	1.1e-26	107.2	3.8	2	65	481	544	480	544	0.98	protein gamma response 1 [Papilio machaon]	Papilio machaon
KPJ01839.1	-	562	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.1e-26	107.2	3.8	1	1	8.4e-32	1.1e-26	107.2	3.8	2	65	483	546	482	546	0.98	hypothetical protein RR46_06135 [Papilio xuthus]	Papilio xuthus
XP_013180420.1	-	562	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.1e-26	107.2	3.8	1	1	8.4e-32	1.1e-26	107.2	3.8	2	65	483	546	482	546	0.98	PREDICTED: uncharacterized protein LOC106127025 [Papilio xuthus]	Papilio xuthus
XP_048478473.1	-	549	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.4e-26	106.9	2.3	1	1	1e-31	1.4e-26	106.9	2.3	2	65	470	533	469	533	0.98	uncharacterized protein LOC105381329 [Plutella xylostella]	Plutella xylostella
CAH2048422.1	-	572	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2e-26	106.4	2.4	1	1	1.4e-31	2e-26	106.4	2.4	2	65	493	556	492	556	0.98	unnamed protein product, partial [Iphiclides podalirius]	Iphiclides podalirius
CAH2048421.1	-	573	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2e-26	106.4	2.4	1	1	1.4e-31	2e-26	106.4	2.4	2	65	494	557	493	557	0.98	unnamed protein product, partial [Iphiclides podalirius]	Iphiclides podalirius
CAG9562116.1	-	389	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.9e-26	105.9	1.5	1	1	4.7e-31	6.5e-26	104.8	1.5	3	65	312	374	310	374	0.97	unnamed protein product [Danaus chrysippus]	Danaus chrysippus
KAG7308752.1	-	549	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.4e-26	105.7	2.4	1	1	2.5e-31	3.4e-26	105.7	2.4	2	65	470	533	469	533	0.98	hypothetical protein JYU34_005983 [Plutella xylostella]	Plutella xylostella
