target_name	target_accession	tlen	query_name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description_of_target	species
XP_035708168.1	-	394	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.4e-87	304.2	0.2	1	1	5e-93	3.8e-87	303.5	0.2	1	130	265	394	265	394	1.00	uncharacterized protein LOC110850553 isoform X2 [Folsomia candida]	Folsomia candida
XP_021953679.1	-	492	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.7e-87	303.6	0.2	1	1	7.6e-93	5.9e-87	302.9	0.2	1	130	363	492	363	492	1.00	uncharacterized protein LOC110850553 isoform X1 [Folsomia candida]	Folsomia candida
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	1	9	7.1	5.5e+06	2.2	0.0	77	107	28	57	17	61	0.87	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	2	9	0.85	6.6e+05	5.2	0.0	76	108	113	144	97	156	0.85	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	3	9	0.87	6.7e+05	5.2	0.0	76	108	156	187	143	209	0.87	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	4	9	2.3	1.8e+06	3.8	0.0	78	107	330	358	319	363	0.90	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	5	9	0.95	7.3e+05	5.1	0.0	76	108	457	488	443	498	0.85	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	6	9	0.87	6.7e+05	5.2	0.0	76	108	500	531	487	553	0.87	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	7	9	2.3	1.8e+06	3.8	0.0	78	107	674	702	663	707	0.90	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	8	9	0.99	7.7e+05	5.0	0.0	76	108	801	832	788	843	0.86	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
KAI8749298.1	-	915	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-12	60.1	6.8	9	9	1.1	8.1e+05	4.9	0.0	76	108	844	875	832	881	0.87	hypothetical protein BgiBS90_032728, partial [Biomphalaria glabrata]	Biomphalaria glabrata
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	1	9	9.9	7.7e+06	1.8	0.0	19	42	878	901	862	910	0.81	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	2	9	1.1	8.8e+05	4.8	0.0	20	41	925	946	908	958	0.84	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	3	9	3.1	2.4e+06	3.4	0.0	21	39	1110	1128	1096	1136	0.84	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	4	9	5.7	4.4e+06	2.6	0.0	19	39	1154	1174	1138	1182	0.81	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	5	9	7.6	5.9e+06	2.1	0.0	21	45	1202	1226	1191	1234	0.82	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	6	9	2	1.5e+06	4.0	0.0	20	42	1247	1269	1230	1281	0.83	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	7	9	3.2	2.5e+06	3.4	0.0	23	43	1296	1316	1276	1329	0.81	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	8	9	0.94	7.3e+05	5.1	0.0	23	43	1342	1362	1322	1372	0.82	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031376056.1	-	1461	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.9e-11	56.7	3.2	9	9	0.39	3e+05	6.3	0.0	19	47	1418	1446	1402	1453	0.77	TMV resistance protein N-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	1	9	1.7	1.3e+06	4.3	0.0	20	41	896	917	879	926	0.84	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	2	9	8.6	6.7e+06	2.0	0.0	19	44	1033	1058	1017	1066	0.80	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	3	9	4.1	3.2e+06	3.0	0.0	20	39	1080	1099	1063	1107	0.84	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	4	9	8	6.2e+06	2.1	0.0	19	39	1125	1145	1109	1153	0.81	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	5	9	4.4	3.4e+06	2.9	0.0	21	39	1219	1237	1205	1245	0.84	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	6	9	4.9	3.8e+06	2.8	0.0	23	42	1313	1332	1293	1342	0.81	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	7	9	1.2	9.7e+05	4.7	0.0	23	43	1359	1379	1339	1391	0.81	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	8	9	0.52	4e+05	5.9	0.0	19	47	1435	1463	1419	1473	0.77	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
XP_031398500.1	-	2002	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.2e-10	56.2	8.5	9	9	0.51	4e+05	5.9	0.0	18	47	1480	1509	1465	1517	0.81	LOW QUALITY PROTEIN: disease resistance protein RPP4-like [Punica granatum]	Punica granatum
KXJ22686.1	-	286	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	1	2	0.00025	2e+02	16.6	0.0	14	68	28	79	20	89	0.88	hypothetical protein AC249_AIPGENE10859 [Exaiptasia diaphana]	Exaiptasia diaphana
KXJ22686.1	-	286	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	2	2	2.3e-06	1.8	23.2	0.0	12	120	173	275	164	283	0.80	hypothetical protein AC249_AIPGENE10859 [Exaiptasia diaphana]	Exaiptasia diaphana
QTA92132.1	-	359	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	1	6	0.6	4.7e+05	5.7	0.0	46	67	37	58	33	67	0.89	Uncharacterized protein dnm_082080 [Desulfonema magnum]	Desulfonema magnum
QTA92132.1	-	359	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	2	6	0.6	4.7e+05	5.7	0.0	46	67	93	114	89	123	0.89	Uncharacterized protein dnm_082080 [Desulfonema magnum]	Desulfonema magnum
QTA92132.1	-	359	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	3	6	0.6	4.7e+05	5.7	0.0	46	67	149	170	145	179	0.89	Uncharacterized protein dnm_082080 [Desulfonema magnum]	Desulfonema magnum
QTA92132.1	-	359	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	4	6	0.61	4.7e+05	5.7	0.0	46	67	205	226	201	235	0.89	Uncharacterized protein dnm_082080 [Desulfonema magnum]	Desulfonema magnum
QTA92132.1	-	359	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	5	6	0.6	4.7e+05	5.7	0.0	46	67	261	282	257	291	0.89	Uncharacterized protein dnm_082080 [Desulfonema magnum]	Desulfonema magnum
QTA92132.1	-	359	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-06	43.3	0.0	6	6	0.58	4.5e+05	5.8	0.0	46	67	317	338	313	349	0.89	Uncharacterized protein dnm_082080 [Desulfonema magnum]	Desulfonema magnum
WP_116023969.1	-	127	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.3e-06	41.8	0.0	1	1	7.7e-12	6e-06	40.9	0.0	13	124	17	118	13	121	0.87	hypothetical protein [Thermomonospora umbrina]	Thermomonospora umbrina
WP_172278603.1	-	128	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.6e-06	41.7	0.0	1	1	8.3e-12	6.4e-06	40.8	0.0	15	124	19	121	10	126	0.81	hypothetical protein [Chryseobacterium sp. LAM-KRS1]	Chryseobacterium sp. LAM-KRS1
WP_241507612.1	-	177	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	5e-06	41.2	0.1	1	1	3.9e-11	3e-05	38.7	0.0	15	125	69	172	60	177	0.80	hypothetical protein [Chryseobacterium piscium]	Chryseobacterium piscium
REC53880.1	-	127	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-06	40.7	0.0	1	1	1.3e-11	1e-05	40.2	0.0	15	125	19	122	10	127	0.80	hypothetical protein DRF62_11920 [Chryseobacterium piscium]	Chryseobacterium piscium
WP_228420366.1	-	177	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-06	40.7	0.0	1	1	5.4e-11	4.2e-05	38.2	0.0	15	125	69	172	60	177	0.83	hypothetical protein [Chryseobacterium sp. 5_R23647]	Chryseobacterium sp. 5_R23647
KAH8556021.1	-	133	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	8.8e-06	40.4	0.0	1	1	1.3e-11	1e-05	40.2	0.0	16	127	27	131	12	133	0.88	hypothetical protein BGW37DRAFT_479514 [Umbelopsis sp. PMI_123]	Umbelopsis sp. PMI_123
NHJ38414.1	-	133	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	8.8e-06	40.4	0.0	1	1	2.1e-11	1.6e-05	39.6	0.0	11	124	15	126	7	130	0.78	hypothetical protein [Asgard group archaeon]	Asgard group archaeon
WP_124126687.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	9.9e-06	40.2	0.0	1	1	3.2e-11	2.5e-05	38.9	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
REC43745.1	-	127	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1e-05	40.2	0.0	1	1	1.8e-11	1.4e-05	39.7	0.0	15	125	19	122	10	127	0.83	hypothetical protein DRF69_07755 [Chryseobacterium sp. 5_R23647]	Chryseobacterium sp. 5_R23647
WP_134232381.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.1e-05	40.1	0.0	1	1	3.2e-11	2.4e-05	39.0	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_031673720.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.4e-05	39.8	0.0	1	1	4.4e-11	3.4e-05	38.5	0.0	10	124	12	118	5	122	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_207679623.1	-	350	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.4e-05	39.7	0.0	1	5	0.58	4.5e+05	5.8	0.0	46	67	54	75	50	84	0.89	hypothetical protein [Desulfonema magnum]	Desulfonema magnum
WP_207679623.1	-	350	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.4e-05	39.7	0.0	2	5	0.58	4.5e+05	5.8	0.0	46	67	110	131	106	140	0.89	hypothetical protein [Desulfonema magnum]	Desulfonema magnum
WP_207679623.1	-	350	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.4e-05	39.7	0.0	3	5	0.58	4.5e+05	5.8	0.0	46	67	166	187	162	196	0.89	hypothetical protein [Desulfonema magnum]	Desulfonema magnum
WP_207679623.1	-	350	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.4e-05	39.7	0.0	4	5	0.58	4.5e+05	5.8	0.0	46	67	222	243	218	252	0.89	hypothetical protein [Desulfonema magnum]	Desulfonema magnum
WP_207679623.1	-	350	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.4e-05	39.7	0.0	5	5	0.58	4.5e+05	5.8	0.0	46	67	278	299	274	308	0.89	hypothetical protein [Desulfonema magnum]	Desulfonema magnum
WP_024914606.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.5e-05	39.7	0.0	1	1	4.7e-11	3.6e-05	38.4	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
KAJ5066093.1	-	567	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.6e-05	39.6	0.0	1	1	3.7e-11	2.9e-05	38.7	0.0	9	124	451	558	444	562	0.87	hypothetical protein M0811_03426 [Anaeramoeba ignava]	Anaeramoeba ignava
MBW3523535.1	-	127	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	1.8e-05	39.4	0.0	1	1	3.3e-11	2.6e-05	38.9	0.0	15	125	19	122	10	127	0.81	hypothetical protein [Chryseobacterium sp. NKUCC03_KSP]	Chryseobacterium sp. NKUCC03_KSP
KAI9287859.1	-	133	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2e-05	39.2	0.0	1	1	2.9e-11	2.3e-05	39.1	0.0	13	127	24	131	13	133	0.89	hypothetical protein BC943DRAFT_318978 [Umbelopsis sp. AD052]	Umbelopsis sp. AD052
